Business Name,Description,Category,Address,Phone,Email,Website
0968372 BC LTD - E360,Specialty Trade Contracting,,"3 Iron Canyon Rd Elkford, B.C. V0B 1H0",(250) 946-6676,dwannamaker@e360s.ca,
1325499 BC LTD. DBA ELKFORD I.D.A. PHARMACY,Pharmacy,,"4 Front Street, Suite B P.O. Box 53 Elkford, B.C. V0B 1H0",(778) 521-5181 or (250) 531-3684 FAX (778) 521-5182,idadoug@hotmail.com,
1421446 BC LTD,Mechanical Services,,1 Bear Paw Crescent,(250) 946-6092,scottymechanical@yahoo.com,
APEX POWER & AUTOMATION,Specialty Trades Contracting - Electrical,,"14 Iskut Road P.O. Box 142 Elkford, B.C. V0B 1H0",(250) 865-4349 or (403) 330-8284 Fax (403) 394-9358,brad.johnson@apexpower.ca,
ARCTIC ARROW POWERLINE GROUP LTD.,,,"34282 Manufacturers Way Abbotsford, B.C.",(604) 507-7424,payables@arcticarrowgroup.com,
ARLENE BOHN ART,"Artist (Pottery, Painting & Jewelry Making)",,"833 Michell Road P.O. Box 308 Elkford, B.C. V0B 1H0",(250) 865-4338 or (250) 421-0747,arlenebohn@hotmail.com,
ASPIRE SALON,Hairdresser,,"1156 Nashton P.O. Box 155 Elkford, B.C. V0B 1H0",(250) 865-7345,sheppard.annette7345@gmail.com,
AURORA SPA & WELLNESS,Massage Spa,,"64 Cassiar Drive P.O. Box 1133 Elkford, B.C. V0B 1H0",(867) 444-0832 Fax (250) 865-7865,dallas.richards@hotmail.com,
BARMADE BARTENDING,Bartending Service,,"P.O. Box 713 Elkford, B.C. V0B 1H0",(403) 795-5474 or (403) 563-8788,barmadebartending@gmail.com,
Bickford Mining Services Ltd.,Mining Engineering Consulting,,"664 Natal Road P.O. Box 668 Elkford, B.C.   V0B 1H0",(250) 423-1852,srthiel@gmail.com,
BODY BLISS DAY SPA,Mobile Day Spa,,"13 Darby Cres. P.O. Box 321 Elkford, B.C. V0B 1H0",(778) 908-0879,genevieveashleybodnergerber@gmail.com,
CHAMCO INDUSTRIES LTD,Pump & Compressor Service,,"Bay 110, 553 Kingsview Way SE Airdrie, AB T4A 0C9",(403) 945-8134 Fax (403) 777-1207,adraccounting@chamco.com,
CHAUNCY RIDGE FOOD MART,Convenience Store,,"1 - 2200 Balmer Drive Elkford, B.C. V0B 1H0",(778) 536-5775 or (250) 304-4740,ssrandhawa5775@gmail.com,
CHRISTAL KLASSEN,Bookkeeper's Office,,"1161 Nashton Cres. P.O. Box 186 Elkford, B.C. V0B 1H0",(250) 865-7794,crklass@telus.net,
CLARKSON CONTRACTING LTD.,Specialty Trade Contracting,,"418 B Boivin Road P.O. Box 1049 Elkford, B.C. V0B 1h0",(250) 865-4500 Fax (250) 865-7600,info@clarksoncontracting.com,
CLEAR DIRECTIONS VIRTUAL SOLUTIONS,Virtual Business Support,,"651 Natal Road P.O. Box 198 Elkford, B.C. V0B 1H0",(403) 892-6241,alyssa@alyssaburgoyne.com,
COAL TOWN FURNACE & AC,HVAC Installation (Service Business),,"P.O. Box 820 Coleman, AB T0K 0M0",(403) 795-4398 or (403) 563-9481,coaltownfurnace@gmail.com,
COMBINED INSURANCE COMPANY OF AMERICA,Insurance,,"Suite 70 150 Commerce Valley Drive W. Markham, ON L3T 7Z3",(403) 569-7981 or (403) 619-9738 or Fax (403) 207-1544,giancarlo.valente@ca.combined.com,
