Business Name,Description,Category,Address,Phone,Email,Website
0968372 BC LTD - E360,Specialty Trade Contracting,,"3 Iron Canyon Rd Elkford, B.C. V0B 1H0",(250) 946-6676,dwannamaker@e360s.ca,
1325499 BC LTD. DBA ELKFORD I.D.A. PHARMACY,Pharmacy,,"4 Front Street, Suite B P.O. Box 53 Elkford, B.C. V0B 1H0",(778) 521-5181 or (250) 531-3684 FAX (778) 521-5182,idadoug@hotmail.com,
1421446 BC LTD,Mechanical Services,,1 Bear Paw Crescent,(250) 946-6092,scottymechanical@yahoo.com,
2 TIRED GUYS,,,"1 CHURCHILL PL, ELKFORD, BC, V0B 1H0",(250) 433-7009,,
AGNES CREEK TRADING CO. LTD.,Wood Product Manufacturing,,"8 Iskut Road Elkford, B.C. V0B 1H0",(250) 865-2605 Fax (250) 865-7355,,
AINSWORTH INC.,"Plumbing, Heating and Electrical",,"5265 185A Street Surrey, B.C. V3S 7A4",(604) 576-1355,,
ALPINE CHILDCARE SOLUTIONS LTD,Child Care,,"2100 BALMER DRIVE P.O. Box 35 ELKFORD, B.C. VOB 1H0",,,
ALSCO CANADA CORPORATION,Linen Supply,,"4080 Ogden Road SE Calgary, AB T2G 4P7",(403) 265-7277 Fax (403) 233-8544,,
APEX POWER & AUTOMATION,Specialty Trades Contracting - Electrical,,"14 Iskut Road P.O. Box 142 Elkford, B.C. V0B 1H0",(250) 865-4349 or (403) 330-8284 Fax (403) 394-9358,brad.johnson@apexpower.ca,
ARCTIC ARROW POWERLINE GROUP LTD.,,,"34282 Manufacturers Way Abbotsford, B.C.",(604) 507-7424,payables@arcticarrowgroup.com,
ARLENE BOHN ART,"Artist (Pottery, Painting & Jewelry Making)",,"833 Michell Road P.O. Box 308 Elkford, B.C. V0B 1H0",(250) 865-4338 or (250) 421-0747,arlenebohn@hotmail.com,
ASIAN FUSION FOOD TO GO,,,"3B 2200 BALMER DR, ELKFORD, BC, V0B 1H0",(778) 521-5215,,https://www.canva.com/design/DAEhphjwnTA/B2_iG-3wA714R7wdqybNKA/view?website#2:page-1
ASPIRE SALON,Hairdresser,,"1156 Nashton P.O. Box 155 Elkford, B.C. V0B 1H0",(250) 865-7345,sheppard.annette7345@gmail.com,
AURORA SPA & WELLNESS,Massage Spa,,"64 Cassiar Drive P.O. Box 1133 Elkford, B.C. V0B 1H0",(867) 444-0832 Fax (250) 865-7865,dallas.richards@hotmail.com,
BABY'S BOOTY,Clothing & Accessories Merchant,,"18 Casino Crescent Elkford, B.C. V0B 1H0",(250) 865-7653,,
BARMADE BARTENDING,Bartending Service,,"P.O. Box 713 Elkford, B.C. V0B 1H0",(403) 795-5474 or (403) 563-8788,barmadebartending@gmail.com,
BER & LARK DEVELOPMENTS,Site Preparation Contractors,,"26 Casino Cres.  P.O. Box 1265 Elkford, B.C. V0B 1H0",(250) 433-6808,,
Bickford Mining Services Ltd.,Mining Engineering Consulting,,"664 Natal Road P.O. Box 668 Elkford, B.C.   V0B 1H0",(250) 423-1852,srthiel@gmail.com,
BODY BLISS DAY SPA,Mobile Day Spa,,"13 Darby Cres. P.O. Box 321 Elkford, B.C. V0B 1H0",(778) 908-0879,genevieveashleybodnergerber@gmail.com,
BOTTOM LINE PLUMBING 0781937 BCLTD,Specialty Trade Contracting,,"Box 1331 Elkford, B.C. V0B 1H0",(250) 880-0904,,
C.C. PAINTING & CLEANING,Janitorial and Painting Services,,"44 WILDERNESS HEIGHTS, P.O. BOX 546 ELKFORD, B.C. V0B 1H0",(250) 865-7338,,
